Organisation,Project,Activity,Activity Type,Short Description,Detailed Description,Date,Raised By,Source,Assigned,Priority,Status
Sahana Software Foundation,Community Management Tool,PR,Development,Profile Bios,"Short Bio (one paragraph) (public)Long Bio (multiple paragraphs) (public)",,FB,Mark,,High,
Sahana Software Foundation,Community Management Tool,PR,Development,Improve UI of PR Contact,There is a good example in the CERT branch of how this could be improved,,FB,Fran,,,
Sahana Software Foundation,Community Management Tool,Testing,Testing,Write Manual Test Scripts,,,FB,Fran,,,
Sahana Software Foundation,Community Management Tool,Testing,Testing,Automate Manual Test Scripts,e.g. in Selenium,,FB,Fran,,Low,
Sahana Software Foundation,Community Management Tool,Project,Development,Linked Tickets,"Be able to link tickets together so that updating the status of one, updates all of them",,FB,Fran,,Low,
Sahana Software Foundation,Community Management Tool,Doc,Development,Legal Document Repository,"e.g. once logged in as a member (or contributor), there should be an easy way to link to a blank CLA form or upload a scan of a signed CLA, or link to the Membership application once invited, etc.",,FB,Mark,,Low,
Sahana Software Foundation,Community Management Tool,Doc,Development,Travel Request Forms,See http://wiki.sahanafoundation.org/doku.php/foundation:policies:travel,,FB,Mark,,Low,
Sahana Software Foundation,Community Management Tool,Doc,Development,Expense Report filing,,,FB,Mark,,Low,
Sahana Software Foundation,Community Management Tool,Survey,Development,Voting/Polls,"Track member (new members, committee nominees & director (resolutions) votes",,FB,Mark,,Low,
Sahana Software Foundation,Community Management Tool,Doc,Development,Manage Annual Conflict of Interest Statements,"include notification, reminders to complete by deadlines set by person responsible.  (see http://wiki.sahanafoundation.org/doku.php/foundation:policies:conflict)",,FB,Mark,,Low,
Sahana Software Foundation,Community Management Tool,UI,Development,"Develop theme, branding","Create UI consistent with SSF website and Eden wiki (fonts, logo, color scheme) based on SSF branding requirements",,MP,Mark,,High,
Sahana Software Foundation,Community Management Tool,PR,Development,"Maintain a ""Mailing List""",Register of people who have at some point been interested in Sahana. Restrict access to Community Development Committee.,,MH,MH,,,
Sahana Software Foundation,Community Management Tool,UI,Development,Customized Home Page,"Maybe include: Map of Volunteers, List of tasks, List of Deployments, Feeds",,MH,MH,,,
Sahana Software Foundation,Community Management Tool,UI,Development,Add links to footer,"Add links to SSF website, social media sites (facebook, twitter, flickr, slideshare), project wikis in footer",,Mark,Mark,MP,,
Sahana Software Foundation,Community Management Tool,Wordpress Integration,WP,"Generate Members, Directors pages","Create PHP script on new WP pages to generate html pages for Members, Directors, Contributors pages inclusive of photo, short bio and roles based on generated JSON from Eden",,Mark,Mark,MP,,
